Company Name,Industry Sector,Company Size,Service Quality Rating,Pricing Satisfaction,Customer Support Rating,Number of Customer Engagement,Customer Engagement Score,Competitive Offers Encountered ,Contractual Term Length (Months),Market Trend Impact,Customer Churn Status,Customer Age Group,Customer Gender,PIC
Restoran Lepak Salai,Food,9,4,4,4,3,2,No,6,Neutral,Yes,25 - 34,Male,Faiz
Taska Bintang Desamas,Education,5,4,4,4,2,1,No,12,Negative,Yes,25 - 34,Male,Zakiyah
Jasly Food Resources ,Manufacturing,6,4,4,5,6,7,Yes,12,Neutral,Yes,35 - 44,Prefer Not To Say,Aisyah
Sentuhan Jemari Emas Sdn Bhd,Apparel,7,4,4,4,6,7,Yes,12,Neutral,Yes,35 - 44,Prefer Not To Say,Aisyah
SN HIJAB,Retail,15,4,4,5,4,4,No,14,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
ZONE 79 NETWORK ENTERPRISE / MULTIRICH RESOURCES 2,Services,4,5,4,4,4,7,No,18,Negative,Yes,25 - 34,Prefer Not To Say,Haziq
FIRJANI HOLIDAYS SDN BHD ,Travel Agent,3,5,4,4,4,2,No,8,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
PERANTI WORKS,Services,2,4,4,4,4,3,No,10,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
AAY TRADING & SERVICES,Services & Trading,10,5,4,5,5,4,No,8,Negative,Yes,25 - 34,Prefer Not To Say,Haziq
Essofeeya Sdn Bhd,Fashion,12,4,4,1,1,1,No,1,Neutral,Yes,35 - 44,Male,Alib
Pharmedicare Sdn Bhd,Healthcare,2,5,4,3,1,1,No,1,Neutral,Yes,25 - 34,Female,Alib
Sbs Beauty,Health & Beauty,5,4,4,3,2,2,No,1,Neutral,Yes,35 - 44,Female,Alib
AKUSUKAKOPI (M) SDN BHD,Beverages,3,5,4,3,6,7,No,4,Positive,Yes,25 - 34,Male,Zakiyah
SILVER STRINGS SDN BHD,Advertising,7,4,4,4,5,6,No,4,Neutral,Yes,25 - 34,Male,Zakiyah
SR Creative Print,Services,4,5,3,5,5,5,No,8,Positive,Yes,35 - 44,Male,Najiha
FAF Trading & Resources,Food,5,4,3,4,9,9,Yes,7,Positive,Yes,25 - 34,Male,Najiha
Mhar Ee Enterprise,Services,10,5,3,5,6,7,Yes,12,Neutral,Yes,35 - 44,Prefer Not To Say,Aisyah
Nia ampera caters,F&B ,3,4,4,4,6,7,Yes,12,Neutral,Yes,35 - 44,Prefer Not To Say,Aisyah
MI MYFA SHOPPE (AMIRULNOR GADGET),Telecommunication,4,5,5,5,6,7,Yes,12,Neutral,Yes,35 - 44,Prefer Not To Say,Aisyah
Luxuera Global Sdn Bhd > FMLUXE BEAUTY SDN BHD,Services ,20,3,5,4,1,4,No,12,Neutral,Yes,25 - 34,Male,Yaya
Nuhayra Enterprise ,Services ,10,5,5,5,2,5,No,12,Negative,Yes,25 - 34,Male,Yaya
GMK Group Sdn Bhd ,Constructions ,45,3,4,4,1,4,No,12,Neutral,Yes,35 - 44,Male,Meryl
UstazHarry Umrah Travel Services Sdn Bhd,Services,11,3,4,5,1,3,No,24,Neutral,Yes,25 - 34,Female,Meryl
Klinik Pergigian Idramawar,Services,6,3,4,4,1,3,No,24,Neutral,Yes,35 - 44,Female,Meryl
The Panaderia,Food & Beverages,10,3,4,4,3,3,No,12,Neutral,,,Prefer Not To Say,Nisa
PURRLOVE MAJUTERUS ENTERPRISE / PURRLOVE TERUSMAJU RESOURCES,Animal Healthcare,4,4,4,4,4,8,No,24,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
GALAXY MERCHANT (M) SDN BHD,Construction,10,5,5,4,4,8,No,12,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
DE RICHE LURVE SDN BHD ,Retail,5,4,4,4,4,8,No,22,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
KAB GOLDYNAMICS SDN. BHD.,Trading,20,5,5,4,2,2,No,12,Neutral,Yes,35 - 44,Male,Alib
Elza Wellness International Sdn Bhd,Healthcare,10,4,4,4,3,4,No,12,Negative,Yes,35 - 44,Female,Alib
Printeck Pro Sdn Bhd ,Advertising,10,5,5,4,,,,,,Yes,,,Alib
Food Project Delights,Food,10,4,4,4,2,1,No,12,Neutral,Yes,,Prefer Not To Say,Faiz
Fabulous Heejab Sdn Bhd ,Retail,12,5,5,4,6,4,No,27,Neutral,Yes,25 - 34,Female,Anis
Ezy Meta Group Sdn. Bhd.,Services,7,4,4,4,2,1,No,12,Neutral,Yes,,Female,Faiz
R35pect Empire Sdn Bhd,Business,15,5,5,4,,,,,,Yes,,,Aini
METAFANIA DREAM BUSINESS,Retail,10,4,4,4,5,6,No,24,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
MUTO KOPI,Services,14,5,5,4,5,5,No,24,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
KAY EMPIRE GROUP SDN BHD,Retail,10,4,4,4,4,4,No,24,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
NYE LEGACY SDN BHD,Services,6,5,5,4,5,5,No,12,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
ARTEFFECTS SDN. BHD,Entertainment,6,4,4,4,8,4,No,24,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
FLORELLA CAFE,Services,10,5,5,4,2,2,No,12,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
BEKKI GROUP SDN BHD (DESA NUR GROUP),Technology,10,4,4,4,5,5,No,24,Positive,Yes,25 - 34,Prefer Not To Say,Haziq
JASAMAJU ENTERPRISE,Wholesaler ,15,5,4,4,2,1,No,12,Neutral,Yes,35 - 44,Male,Faiz
GANGSA SETIA SDN BHD,Oil ,0,4,4,4,2,1,No,12,Neutral,Yes,35 - 44,Male,Faiz
PRO INTEGRATED POWER ENGINEERING,Wholesaler ,15,5,4,4,2,2,No,12,Neutral,Yes,25 - 34,Female,Faiz
MONTANA BUILDERS SDN BHD ,Construction ,16,4,4,4,3,2,No,6,Neutral,Yes,35 - 44,Male,Faiz
AROZ BINA F&B SDN BHD,Services,10,5,4,4,2,2,No,12,Neutral,Yes,,Female,Faiz
GREN TRE PRINTING SDN BHD ,Services,6,4,4,4,4,4,No,6,Neutral,Yes,35 - 44,Female,Faiz
TADIKA NURUL TAQWA,Education,5,5,4,5,5,5,No,12,Neutral,Yes,25 - 34,Male,Faiz
TASKA NURUL TAQWA,Education,3,4,4,5,5,5,No,12,Neutral,Yes,25 - 34,Male,Faiz
PUSAT JAGAAN NURUL TAQWA,Education,4,5,4,5,5,5,No,12,Neutral,Yes,25 - 34,Male,Faiz
ADN International Sdn Bhd,Manufacturer,0,4,5,5,3,3,No,12,Neutral,Yes,25 - 34,Male,Zakiyah
ADN Trading & Services,TRADING & SERVICES,3,5,4,5,3,3,No,12,Neutral,Yes,25 - 34,Male,Zakiyah
Imtiaz Ventures Sdn Bhd,Services,19,4,5,5,8,8,No,12,Neutral,Yes,25 - 34,Female,Najiha
Imhomestylist Sdn Bhd,Services,5,5,4,5,8,8,No,12,Positive,Yes,25 - 34,Female,Najiha
